Año;Mes;1_ambiente;2_ambientes;3_ambientes;4y5_ambientes;Usados ;Nuevos
2018;Enero;22.37;42.4;24.21;11.02;87.19;12.81
2018;Febrero;21.94;43.23;24.33;10.49;87.24;12.76
2018;Marzo;20.91;43.87;25.59;9.64;86.78;13.22
2018;Abril;22.28;42.61;25.94;9.16;86.73;13.27
2018;Mayo;19.45;43.87;26.75;9.93;88;12
2018;Junio;20.47;46.12;24.04;9.36;89.35;10.65
2018;Julio;19.72;45.9;23.58;10.8;88.54;11.46
2018;Agosto;19.07;43.86;25.58;11.49;88.19;11.81
2018;Septiembre;19.27;46.01;24.7;10.01;89.04;10.96
2018;Octubre;20.48;44.23;25.14;10.15;88.9;11.1
2018;Noviembre;19.84;45.11;25.19;9.86;89.68;10.32
2018;Diciembre;19.96;46.18;24.58;9.28;90.57;9.43
2019;Enero;20.93;44.79;24.95;9.32;89.21;10.79
2019;Febrero;19.94;43.34;27.05;9.66;88.8;11.2
2019;Marzo;18.15;43.87;27.04;10.94;89.47;10.53
2019;Abril;18.45;44.61;26.65;10.29;91.58;8.42
2019;Mayo;19.52;43.13;27.16;10.19;92.01;7.99
2019;Junio;20.85;43.1;26.07;9.99;92.75;7.25
2019;Julio;22.81;43.52;23.58;10.09;91.92;8.08
2019;Agosto;22.05;42.92;25.61;9.42;90.15;9.85
2019;Septiembre;21.91;44.04;24.51;9.54;90.65;9.35
2019;Octubre;22.72;42.83;24.58;9.86;91.96;8.04
2019;Noviembre;21.5;43.52;25.27;9.71;91.82;8.18
2019;Diciembre;20.31;44.93;24.62;10.14;90.53;9.47
2020;Enero;22.57;44.77;23.79;8.88;89.74;10.26
2020;Febrero;20.03;46.28;23.82;9.87;89.6;10.4
2020;Marzo;20.95;43.04;26.08;9.93;90.23;9.77
2020;Abril;20.8;39.78;27.69;11.73;89.6;10.4
2020;Mayo;24.67;40.09;23.15;12.08;88.88;11.12
2020;Junio;24.86;41.47;23.19;10.47;90.61;9.39
2020;Julio;28.36;41.35;21.43;8.86;89.97;10.03
2020;Agosto;29.97;42.16;19.78;8.09;87.51;12.49
2020;Septiembre;30.68;42.38;18.54;8.4;89.96;10.04
2020;Octubre;29.95;45.42;18.15;6.49;90.79;9.21
2020;Noviembre;29.57;45.65;18.06;6.72;90.1;9.9
2020;Diciembre;28.36;44.55;20.42;6.67;92.91;7.09
2021;Enero;31.22;41.93;18.78;8.07;92.35;7.65
2021;Febrero;28.52;46.52;18.33;6.63;92.08;7.92
