Barrio;Anio;Trimestre;Valor;Ambientes
Almagro;2018;1;7779.6;1
Balvanera;2018;1;6788.39;1
Belgrano;2018;1;8089.21;1
Caballito;2018;1;7679.91;1
Flores;2018;1;6718.51;1
Núñez;2018;1;;1
Palermo;2018;1;8642.65;1
Recoleta;2018;1;8554.8;1
San Nicolás;2018;1;7200.34;1
Villa Crespo;2018;1;8066.19;1
Villa Urquiza;2018;1;7264.29;1
Almagro;2018;2;7760.71;1
Balvanera;2018;2;7222.15;1
Belgrano;2018;2;8842.8;1
Caballito;2018;2;7930;1
Flores;2018;2;7213.39;1
Núñez;2018;2;9739.76;1
Palermo;2018;2;9860.96;1
Recoleta;2018;2;8894.95;1
San Nicolás;2018;2;7921.88;1
Villa Crespo;2018;2;8416.16;1
Villa Urquiza;2018;2;8157.49;1
Almagro;2018;3;9109.87;1
Balvanera;2018;3;;1
Belgrano;2018;3;9167.43;1
Caballito;2018;3;8365.38;1
Flores;2018;3;7457.37;1
Núñez;2018;3;;1
Palermo;2018;3;10120.16;1
Recoleta;2018;3;9598.84;1
San Nicolás;2018;3;;1
Villa Crespo;2018;3;8954.45;1
Villa Urquiza;2018;3;8674.27;1
Almagro;2018;4;9892.53;1
Balvanera;2018;4;8819.89;1
Belgrano;2018;4;10624.85;1
Caballito;2018;4;9007.2;1
Flores;2018;4;8420.99;1
Núñez;2018;4;;1
Palermo;2018;4;10960.89;1
Recoleta;2018;4;10286.7;1
San Nicolás;2018;4;9109.95;1
Villa Crespo;2018;4;9920.45;1
Villa Urquiza;2018;4;9645.03;1
Almagro;2019;1;10442.35;1
Balvanera;2019;1;9679.14;1
Belgrano;2019;1;11596.03;1
Caballito;2019;1;9454.36;1
Flores;2019;1;9162.48;1
Núñez;2019;1;11026.24;1
Palermo;2019;1;11716.84;1
Recoleta;2019;1;11275.72;1
San Nicolás;2019;1;9753.71;1
Villa Crespo;2019;1;10475.81;1
Villa Urquiza;2019;1;10188.38;1
Almagro;2019;2;11145.91;1
Balvanera;2019;2;10242.11;1
Belgrano;2019;2;12395.89;1
Caballito;2019;2;10620.39;1
Flores;2019;2;9655.72;1
Núñez;2019;2;11851.21;1
Palermo;2019;2;12994.96;1
Recoleta;2019;2;12187.46;1
San Nicolás;2019;2;9876.29;1
Villa Crespo;2019;2;10981.63;1
Villa Urquiza;2019;2;10701.02;1
Almagro;2019;3;12065.42;1
Balvanera;2019;3;11031.97;1
Belgrano;2019;3;13287.67;1
Caballito;2019;3;12054.22;1
Flores;2019;3;10617.98;1
Núñez;2019;3;13478.64;1
Palermo;2019;3;13303.36;1
Recoleta;2019;3;12838.4;1
San Nicolás;2019;3;10685.6;1
Villa Crespo;2019;3;12433.64;1
Villa Urquiza;2019;3;11507.01;1
Almagro;2019;4;12740.4;1
Balvanera;2019;4;12073.72;1
Belgrano;2019;4;14567.54;1
Caballito;2019;4;12709.96;1
Flores;2019;4;11267.94;1
Núñez;2019;4;14524.78;1
Palermo;2019;4;14134.46;1
Recoleta;2019;4;13607.32;1
San Nicolás;2019;4;11882.47;1
Villa Crespo;2019;4;13555.83;1
Villa Urquiza;2019;4;12361.21;1
Almagro;2020;1;13217.29;1
Balvanera;2020;1;13003.15;1
Belgrano;2020;1;16451.89;1
Caballito;2020;1;14197.35;1
Flores;2020;1;11498.77;1
Núñez;2020;1;;1
Palermo;2020;1;15764.44;1
Recoleta;2020;1;15400.98;1
San Nicolás;2020;1;11822.66;1
Villa Crespo;2020;1;15071.43;1
Villa Urquiza;2020;1;13832.2;1
Almagro;2020;2;14803;1
Balvanera;2020;2;14685.1;1
Belgrano;2020;2;17236.6;1
Caballito;2020;2;14656.47;1
Flores;2020;2;;1
Núñez;2020;2;;1
Palermo;2020;2;17699.44;1
Recoleta;2020;2;17515.83;1
San Nicolás;2020;2;12993.75;1
Villa Crespo;2020;2;16129.37;1
Villa Urquiza;2020;2;15228.61;1
Almagro;2020;3;18021.46;1
Balvanera;2020;3;16679.64;1
