Barrio;Año;Trimestre;Valor;Ambientes
Almagro;2018;1;9598.35;2
Balvanera;2018;1;8957.68;2
Belgrano;2018;1;11121.47;2
Boedo;2018;1;;2
Caballito;2018;1;9356;2
Colegiales;2018;1;10643.17;2
Flores;2018;1;8939.68;2
Montserrat;2018;1;9153.86;2
Núñez;2018;1;11421.16;2
Palermo;2018;1;12151.83;2
Parque Chacabuco;2018;1;9802.66;2
Recoleta;2018;1;11211.16;2
Retiro;2018;1;10871.02;2
San Cristobal;2018;1;8822.32;2
San Nicolás;2018;1;8486.58;2
Villa Crespo;2018;1;10018.37;2
Villa del Parque;2018;1;8724.66;2
Villa Devoto;2018;1;9291.12;2
Villa Urquiza;2018;1;10664.78;2
Almagro;2018;2;10415.81;2
Balvanera;2018;2;9307.17;2
Belgrano;2018;2;11883.32;2
Boedo;2018;2;10163.64;2
Caballito;2018;2;10381.89;2
Colegiales;2018;2;12576.86;2
Flores;2018;2;9501.33;2
Montserrat;2018;2;9726.45;2
Núñez;2018;2;12905.08;2
Palermo;2018;2;13048.81;2
Parque Chacabuco;2018;2;9836.67;2
Recoleta;2018;2;12056.54;2
Retiro;2018;2;;2
San Cristobal;2018;2;9571.74;2
San Nicolás;2018;2;9799.05;2
Villa Crespo;2018;2;10903.57;2
Villa del Parque;2018;2;9725.66;2
Villa Devoto;2018;2;9615.4;2
Villa Urquiza;2018;2;11642.1;2
Almagro;2018;3;11200.29;2
Balvanera;2018;3;10510.94;2
Belgrano;2018;3;13042.8;2
Boedo;2018;3;;2
Caballito;2018;3;11245.83;2
Colegiales;2018;3;12640.7;2
Flores;2018;3;10049;2
Montserrat;2018;3;9908.09;2
Núñez;2018;3;13344.44;2
Palermo;2018;3;13875.81;2
Parque Chacabuco;2018;3;;2
Recoleta;2018;3;12703.12;2
Retiro;2018;3;;2
San Cristobal;2018;3;10331.26;2
San Nicolás;2018;3;10833.05;2
Villa Crespo;2018;3;12267.94;2
Villa del Parque;2018;3;10048.85;2
Villa Devoto;2018;3;11557.12;2
Villa Urquiza;2018;3;12348.46;2
Almagro;2018;4;12241.33;2
Balvanera;2018;4;11887.43;2
Belgrano;2018;4;13802.24;2
Boedo;2018;4;11629.83;2
Caballito;2018;4;12156.34;2
Colegiales;2018;4;13267.07;2
