Año;Mes;1_ambiente;2_ambientes;3_ambientes
2018;Enero;7714.99;10312.25;16461.79
2018;Febrero;7621.87;10489.76;16906.89
2018;Marzo;8039.54;10686.67;16972.75
2018;Abril;8353.24;11091.41;17172.86
2018;Mayo;8290.37;11259.97;17242.55
2018;Junio;8614.92;11657.38;17253.17
2018;Julio;8608.25;11986.16;18055.58
2018;Agosto;8971.31;12152.27;18224.45
2018;Septiembre;9305.64;12561.96;18413.29
2018;Octubre;9597.56;12615.35;18651.16
2018;Noviembre;9779;12792;19126.23
2018;Diciembre;9705.33;12839.38;19988.18
2019;Enero;10170.11;13335.89;20667.56
2019;Febrero;10410.17;13953.04;20362.21
2019;Marzo;10665.6;14287.38;20969.21
2019;Abril;10985.73;14382.01;21071.01
2019;Mayo;11171.86;14601.77;22112.23
2019;Junio;11532.27;15212.2;22709.16
2019;Julio;11731.26;15470.53;22883.01
2019;Agosto;12129.43;16218.56;23497.72
2019;Septiembre;12343.56;16342.33;24521.42
2019;Octubre;12782.58;16677.92;24371.43
2019;Noviembre;12919.96;17013.99;25175.17
2019;Diciembre;13252.7;17326.52;24937.11
2020;Enero;13777.33;18004.88;26608.04
2020;Febrero;14177.99;17814.7;27336.85
2020;Marzo;13948.16;18776.07;27548.65
2020;Abril;13933.75;18332.43;26919.25
2020;Mayo;15254.43;20020.34;29451.38
2020;Junio;15876.32;20282.79;31544.94
2020;Julio;16841.62;22515.32;33323.95
2020;Agosto;17654.06;23783.56;36268.46
2020;Septiembre;18550.88;24714.53;39143.15
2020;Octubre;19212.46;25435.53;39191.09
2020;Noviembre;19913.93;26201.93;41180.87
2020;Diciembre;20459.36;26576.07;41318.53
2021;Enero;21019.09;27513.36;42960.49
2021;Febrero;22006.44;28596.72;45680.97
2021;Marzo;22899;30471.1;46916.9
2021;Abril;23946.18;31757.57;47482.09
2021;Mayo;24848.45;33077.63;50931.94
2021;Junio;25500.53;33980.9;52249.98
2021;Julio;26484.51;35598.69;54352.31
2021;Agosto;27271.92;36843.51;56471.42
2021;Septiembre;27960.2;37694.99;59080.88
2021;Octubre;28890.08;38871.54;60070.82
2021;Noviembre;29611.18;39929.17;62617.14
2021;Diciembre;30903.88;41758.85;65884.57
2022;Enero;32579.01;43313.97;69125.78
2022;Febrero;34942.87;45711.59;72490.48
2022;Marzo;35893.3;49936.29;74941.52
2022;Abril;38296.2;52304.48;79321.7
2022;Mayo;42151.54;57761.25;83879.04
2022;Junio;43780.92;59015.14;88868.56
2022;Julio;46717.35;63654.2;95044.04
2022;Agosto;51068.56;68149.33;99853.89
2022;Septiembre;53595.57;71458.75;103846.04
2022;Octubre;57186.85;73389.53;111737.71
2022;Noviembre;60544.51;79781.27;117208.31
2022;Diciembre;63948.28;84042.14;123834.53
2023;Enero;70217.96;89615.24;136102.8
2023;Febrero;75537.77;95815.38;152089.46
2023;Marzo;83455.38;108649.8;160633.4
2023;Abril;96901.64;122674.24;183243.86
2023;Mayo;101589.67;136944.26;196753.36
2023;Junio;112249.72;156704.63;223552.58
2023;Julio;130073.66;174410.25;251126.52
2023;Agosto;156334.08;221935.48;302840.63
2023;Septiembre;172867.56;241842.89;322469.24
2023;Octubre;206133.25;286212.65;403703.63
2023;Noviembre;217796.76;316822.89;471398.66
2023;Diciembre;254300.74;348091.06;539835.88
2024;Enero;264691.22;362688.13;565642.87
2024;Febrero;273285.51;374556.31;576615
2024;Marzo;284560.55;384865.55;579738.34
2024;Abril;290615.46;392840.01;596028.02
2024;Mayo;298723.61;403998.15;619899.99
2024;Junio;309151.11;416348.51;633185.94
2024;Julio;318737.47;430916.14;670358.46
2024;Agosto;337794.47;452721;690837.89
2024;Septiembre;348914.83;469724.53;718401.44
2024;Octubre;358576.69;485437.68;746685.68
2024;Noviembre;362118.87;495323.69;768801.84
2024;Diciembre;373182.35;506733.92;780469.4
2025;Enero;394202.2;526591.96;806818.19
2025;Febrero;406627.87;552843.99;833951.07
2025;Marzo;417715.75;556822.8;837302.39
2025;Abril;428301.05;576362.26;856865.21
2025;Mayo;433720.17;591821.15;873973.26
2025;Junio;444432.18;603028.37;895655.3
2025;Julio;452648.89;611063.65;929191.48
2025;Agosto;469511.08;627392.16;943229.58
2025;Septiembre;470777.64;641651.79;962162.75
2025;Octubre;480420.44;654041.51;974924.48
2025;Noviembre;492308.98;657861.41;1021937.61
2025;Diciembre;507380.48;678482.38;1030344.46
